corpus: preloaded/doaj_en
subcorpus: -
size: 10000
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"], Random sample:10000
Clinics | <s> Therefore, we aimed to quantify the prevalence of both metabolic factors and non-alcoholic steatohepatitis-related liver cirrhosis in China. </s> 
PLoS ONE | <s> Here we report on an investigator-initiated, interventional, two-year, randomized, placebo-controlled prospective clinical trial in Tanzania in which we aimed to reduce HIV immune activation with prednisolone in order to monitor the effects of this intervention on HIV disease progression. </s> 
PLoS ONE | <s> Since PIKfyve is known to aid in regulating traffic in the endosomal system, we wanted to know whether there was a loss of identity between early and late endosomes. </s> 
PLoS ONE | <s> Here we aimed to evaluate whether moderate caloric restriction during early pregnancy in rats affects white adipose tissue (WAT) sympathetic innervation in the offspring, and its relationship with adiposity development. </s> 
PLoS ONE | <s> In the present study we aimed to evaluate whether moderate maternal caloric restriction (20%) during the first 12 days of gestation in rats was able to produce early effects in the offspring on WAT sympathetic innervation, thus affecting NE and NPY content in nerve terminals, and also to study its relationship with adiposity development when animals are exposed to a dietary stressor such as HF diet in adult life. </s> 
European Cells and Materials (ECM) | <s> The influence of nanotopography on osteoblasts Discussion In the current study we aimed to get insight in how osteoblast morphology and motility are controlled by nanoscale surface features like (an)isotropy, spacing (R:G) and depth using a biochip with an array of nanoscale squares and groove patterns differing in depth, width, spacing and ridge-groove ratio. </s> 
PLoS ONE | <s> Furthermore we aimed to study the molecular basis of variant formation of this genomic island. </s> 
PLoS ONE | <s> Given the utility of GPNMB/OA expression as a prognostic indicator of recurrence and its potential as a therapeutic target in human breast tumors [22,23], we aimed to investigate the functional role of GPNMB/OA in the primary breast tumor microenvironment. </s> 
Zoologia (Curitiba) | <s> There have been local accounts of these monkeys using probes, which we aimed to ascertain . </s> 
PLoS Genetics | <s> Past successes at finding genetic risk factors for HTN have focused on families with extreme, familial forms of HTN, and here we aimed to find common variants affecting more commonly observed HTN in the community and the clinic [21]. </s> 
PLoS ONE | <s> In the present study, we aimed to investigate the influence of sesamin on allergic asthma in a murine model of OVA-induced airway inflammation and hyperreactivity. </s> 
Mathematical Problems in Engineering | <s> When the simulation model is constructed, we wanted to tighten precision cover on the population mean (u); the smaller the confidence interval, the larger the number of required simulation replications. </s> 
PLoS ONE | <s> In addition, we wanted to know how genome-wide amino acid usage was biased in the different genomes and how changes to base composition and mutations affected this bias. </s> 
PLoS ONE | <s> assays performed this far utilized fixed cells we wanted to exclude eventual artifacts due to cell fixation by comparing the reactivity of aF1 phage with fixed versus live Yersinia strains (Figure 5). </s> 
The Scientific World Journal | <s> In light of the foregoing, we aimed to investigate the effects of other commercially available PDE-5 inhibitor, vardenafil, in MCTinduced pulmonary artery hypertension. </s> 
PLoS ONE | <s> Given the robust down regulation of E. histolytica transcripts using the novel trigger-based approach, we wanted to ascertain whether this technique could silence RNAi genes in E. histolytica. </s> 
PLoS ONE | <s> As a secondary objective we aimed to correlate the changes observed in those parameters with the severity of OSA syndrome at baseline. </s> 
Journal of Clinical and Analytical Medicine | <s> In this study we aimed to determine the seroprevalance of HAV seropositivity in two different hospitals in the Aegean region of Turkey. </s> 
Journal of Clinical and Analytical Medicine | <s> In this study we aimed to determine the seroprevalance of HAV seropositivity in two different hospitals in the Aegean region of Turkey. </s> 
Human Technology: An Interdisciplinary Journal on Humans in ICT Environments | <s> METHOD Setting Because we wanted to go in depth with the exploration of genre structures' enactment in email communication, OSS development seemed an ideal empirical setting. </s> 
Human Technology: An Interdisciplinary Journal on Humans in ICT Environments | <s> Because we wanted to investigate some potential concern with the use of genres, these two threads were selected as involving a voting session on the same issue (same subject plus same tag = [vote]), but extending over time for considerably longer than the usual 72 hours (the Apache Way). </s> 
Psihologija | <s> In this Monte Carlo experiment we aimed to investigate the impact that sample size, number of analyzed variables, number of supposed factors and proportion of error variance have on the accuracy of analyzed criteria for principal components retention. </s> 
PLoS ONE | <s> Specificity of Real-Time PCR assays Because adenoviruses in species HAdV-C are well conserved in the hexon and fiber genes, we wanted to determine if our assays were specific to the target HAdV types. </s> 
PLoS ONE | <s> In this study, we aimed to evaluate the therapeutic effect of VPA on symptomatic RTT mice. </s> 
Biogeosciences | <s> Therefore, we aimed to use optimal averaging period over several hours for similar conditions in terms of wind speed and stability. </s> 
Ovidius University Annals, Series Physical Education and Sport/Science, Movement and Health | <s> Through this survey we wanted to see how it is perceived among the coaches, the importance of selection in women's football. </s> 
Annals of the University of Oradea: Economic Science | <s> As a part of communication process we wanted to explore the accountant's perception about manager's expectation for more information. </s> 
PLoS ONE | <s> In addition, due to the unspecific targeting of thyrosine kinases by TKI's we aimed to assess the MoA on a proteome-wide scale. </s> 
HPB Surgery | <s> As liver tumours receive some of their blood supply from the portal vein, we wanted to illustrate the influence of portal blood flow in combination with dearterialization in the treatment of liver tumours. </s> 
PLoS ONE | <s> In silico cytotoxicity curves In order to test one of the possible practical applications of the kinetic model, we aimed to calculate drug cytotoxicity curves. </s> 
PLoS ONE | <s> Additionally, we wanted to improve the tailor-made notched music training (TMNMT), by transferring basic research into clinical practice. </s> 
PLoS Neglected Tropical Diseases | <s> We were inspired by a set of elegant experiments performed by the group of Barbara Hanson in the 1980s, which measured the growth of O tsutsugamushi (then called Rickettsia tsutsugamushi) under a range of conditions [19], and we aimed to update and expand on those observations. </s> 
PLoS Neglected Tropical Diseases | <s> Having identified efficient lysis methods, we wanted to measure the effect on bacterial viability of different methods of host cell lysis (Fig 5B). </s> 
Ecologia Balkanica | <s> In the current study we aimed to present collected data from the last years which describe why fish is an appropriate species in terms of ecotoxicological research. </s> 
PLoS Medicine | <s> After identifying these SqCC specific genes, we next aimed to ensure that amplification is responsible for their differential expression, as these will be candidate targets driving amplicon selection (hypothesis 2). </s> 
PLoS Medicine | <s> In this meta-analysis of meta-analyses, we aimed to compare the estimates of harm (for specific adverse effects) reported in meta-analysis of RCTs with those reported in meta-analysis of observational studies for the same adverse effect. </s> 
Anais da Academia Brasileira de Ciências | <s> Integration of what could be measured and reasoned, and what could be perceived and felt was necessary, as we wanted to go beyond recording productivity, in order to unveil simultaneous chemical, mineralogical, environmental, social, economic, cultural and psychological changes. </s> 
PLoS ONE | <s> To address this possibility further, we aimed to identify in a cell free system the proteins that functionally interact with EFhd2. </s> 
PLoS ONE | <s> Experiment 2 Here we aimed to replicate the findings of Experiment 1 by having a new sample of male participants complete the faithfulness forced choice task using face images from Experiment 1. </s> 
Pain Research and Management | <s> Secondly, we wanted to explore the underlying structure of these ten selected items including its performance. </s> 
Antibiotics | <s> By reviewing this information, we aimed to highlight gaps in research that should constitute a basis for the development of policies to control or limit the impact of AMR in the region. </s> 
Diabetes & Metabolism Journal | <s> In this article, we wanted to review the recent status of micro- and macrovascular complications of type 2 diabetes in Korea from integration of many epidemiologic studies. </s> 
Mediators of Inflammation | <s> Next, we wanted to confirm the differential expression </s> 
Molecules | <s> Degradation of TYROLPD, HTYR-OLPD, tyrosol (TYR), and hydroxytyrosol (HTYR) In this work we wanted to exploit the use of the isotope dilution assay and MRM tandem mass spectrometry for the determination of the residue of the natural ingredients present in micro amounts in different thermally treated oil samples. </s> 
PLoS ONE | <s> In this work, we aimed to explore whether patients with PHN were able to up and down regulate their rACC BOLD signal through rtfMRI neurofeedack, and whether the regulation would alter pain perception level. </s> 
PLoS ONE | <s> As we had been observing a robust barrier stabilizing effect of IMD in vitro, and after having characterized the impact of MV on the endogenous IMD system we aimed to investigate whether continuously infused IMD protects against VILI induced pulmonary hyperpermeability in mechanically ventilated mice. </s> 
International Journal of Medical Sciences | <s> In the present study, we aimed to demonstrate a possible effect of 1,25-vit D in three different models of experimental sepsis and DIC in rats, using a controlled and clinically relevant administration of vitamin D. </s> 
PLoS Computational Biology | <s> Because we wanted to start with as rich a set of candidate trees as possible, we used the bootstrap trees and not the jackknife trees. </s> 
PLoS ONE | <s> Since Beclin 1 is a well-known tumor suppressor [2,16], we therefore wanted to test the cell biological consequence of such mutations in the context of FYVE-CENT interaction. </s> 
PLoS ONE | <s> In this study, we aimed to evaluate the tolerance and safety of an infant formula supplemented with a mixture of short chain galacto-oligosaccharides, long chain fructo-oligosaccharides and pectin acidic-oligosaccharides, in healthy infants during the first year of life by investigating effects on growth, gastrointestinal tolerance and stool consistency and by identifying any adverse effects. </s> 
PLoS ONE | <s> Furthermore, we aimed to determine the preferred substrates for PhLOX2 by incubating the purified protein with a mixture of GLA, AA, EPA and DHA. </s> 
PLoS ONE | <s> Here, we aimed to establish a practical differentiation method to induce skeletal myogenesis from both human ES and iPS cells. </s> 
PLoS ONE | <s> By scanning different thresholds, we aimed to identify the set of top genes with the strongest evidence of enrichment. </s> 
Albanian Journal of Agricultural Sciences | <s> With this study we aimed to fill the information gap and provide reliable prevalence data for Cp. abortus infection in Albania, as the knowledge of true prevalence is crucial for policy makers in the context of evidence-based decision making schemes. </s> 
PLoS Pathogens | <s> Vaccine-induced antibodies overcome regional bulk antibody glycosylation differences To ultimately determine whether antibody glycosylation is programmed at an antigen-specific level in a reproducible manner independent of regional differences in bulk circulating Fc glycosylation, we next aimed to determine whether the regional differences observed in bulk Fc glycosylation were also present in antigen-specific antibody glycoprofiles. </s> 
PLoS Pathogens | <s> Different immune signals during antigen exposure elicit distinct glycosylation profiles Given that the adenovirus-vectored vaccines elicited similar glycosylation patterns on vaccinespecific antibodies in all tested vaccinees, we aimed to determine whether the observed antigen-specific glycan profiles are conserved across all de novo-induced antibodies or if they are tuned differentially by distinct immunogens at the time of vaccination. </s> 
Evidence-Based Complementary and Alternative Medicine | <s> In the present investigation, we aimed to examine whether EA could affect Aβ-induced apoptosis, synaptic degeneration, and learning and memory deficits in Aβinjected rats. </s> 
PLoS ONE | <s> LEM-3 has nuclease activity As LEM-3 contains a GIY-YIG domain, we wanted to test whether LEM-3 also has nuclease activity. </s> 
International Journal of Molecular Sciences | <s> For this reason, we aimed to identify a suitable combination of acceptor and donor splice site sequences that would allow an efficient recognition of cryptic exon X by the mouse splicing machinery. </s> 
Arquivos de Neuro-Psiquiatria | <s> In this regard, we aimed to determine whether environmental exposure to air pollution is an aggravating event for SUDEP. </s> 
PLoS Biology | <s> However, we wanted to attempt some experiments to relate our results to those of this group. </s> 
Risk Management and Healthcare Policy | <s> Since elderly Floridians already possessed the reputation of being healthier, we aimed to examine any differences with respect to visual impairment, prevalence of age-related eye disease as well as coverage and utilization of eye care services between Florida and other states across the nation. </s> 
PLoS ONE | <s> In order to explore modalities of clinical implementation, we wanted to develop stool assay. </s> 
PLoS ONE | <s> Finally, we wanted to see whether this pro-phagocytic effect is expressed when other, nonspecific particles are offered, and we offered green fluorescent beads to iDCs. </s> 
PLoS ONE | <s> Here, we aimed to examine the role of unstructured loops in folding, trafficking, targeting and activity of hENT1. </s> 
PLoS ONE | <s> Based on the potential significance of the role of ADAMs in promoting proliferation, metastasis and angiogenesis, we aimed to assess the expression levels of ADAMs and their relationship to clinical prognosis in SCLC in order to identify an effective diagnostic marker. </s> 
PLoS ONE | <s> In this medical study, we aimed to examine whether MBC actually has the same prognosis as post-menopausal FBC. </s> 
PLoS Pathogens | <s> Since it has recently been shown that the HIV-1 Tat protein has RSS activity, we wanted to determine whether EBOV VP35 is capable of functionally replacing the Tat RSS activity in HIV-1. </s> 
PLoS Genetics | <s> Increased proteasome capacity results in enhanced turnover of the transcriptional repressor Mig1 To gain mechanistic information on the functional interaction between the proteasome and AMPK/Snf1 signaling, we aimed to identify potential proteolytic targets within this signaling pathway. </s> 
PLoS ONE | <s> Another potential caveat with the experimental approach is that the quantification was performed with the LVS strain, and not a FPI mutant, since we wanted to ensure that the bacterial numbers were similar and thereby did not bias the amounts of secreted proteins. </s> 
PLoS ONE | <s> In an effort to first confirm the in vivo role of Mt-Ppm1/D2 in LM/LAM biosynthesis we aimed to test the essentiality of PPM glycosyltransferase activity in M. smegmatis by using CESTET, a genetic tool for testing gene essentiality in M. smegmatis. </s> 
PLoS ONE | <s> Also, we aimed to examine the feasibility of our study procedures, validity of the tools, and overall approach for a larger study developing an rtfMRI-neurofeedback treatment approach for OCD. </s> 
PLoS ONE | <s> Because the main purpose of this study was to see the feasibility of the method and optimization of the measurements for a controlled, future study, we wanted to keep the heterogeneity of the patients to figure out the possible effects of the rtfMRI-neurofeedback training on different patient subgroups. </s> 
PLoS ONE | <s> As the molecular mechanism of MIA/CD-RAP action in cartilage has not been defined in detail until now, we aimed to understand the regulation of p54nrb transcription in chondrogenesis. </s> 
PLoS ONE | <s> we aimed to define whether this regulation was also important in cartilage differentiation. </s> 
PLoS ONE | <s> In this work, we aimed to address the significance of gene duplications that gave rise to multiple TPP homologs in A. thaliana. </s> 
Pediatric Urology Case Reports | <s> In this case report, we aimed to present our early approach to the OEIS complex. </s> 
Disease Models & Mechanisms | <s> Therefore, we aimed to investigate the pulmonary transcriptome changes caused by surgical induction of diaphragmatic hernia (DH) and additional TO in the fetal rabbit model. </s> 
Disease Models & Mechanisms | <s> Therefore, we wanted to investigate the pulmonary transcriptome after surgically induced DH creation and subsequent TO in the rabbit model. </s> 
PLoS ONE | <s> By analysing whole genome sequence data representing the six F1 sires of the FJX pedigree, we aimed to identify candidate causative variants underlying the milk fat percentage and AGPAT6 expression QTL. </s> 
PLoS ONE | <s> Thus, we aimed to characterize the genomes of several PGC strains. </s> 
PLoS ONE | <s> For HV population, where samples had different geographic origins, we wanted to test whether this could have introduced any structure into the population. </s> 
PLoS Neglected Tropical Diseases | <s> Since Leishmania is transmitted by sand fly bites we wanted to verify if the small amount of PpSP15 or PpSP44 injected by sand flies during feeding is able to recall the same level and type of immunity observed in response to challenge with SGH-LM. </s> 
PLoS ONE | <s> In the present study, we aimed to evaluate and assess the utility of LP-ICG-C18 in PDT for squamous cell carcinoma in mice, under both in vitro and in vivo conditions. </s> 
Arquivos de Neuro-Psiquiatria | <s> In this study we aimed to investigate dissociative experiences in patients with epilepsy. </s> 
PLoS ONE | <s> As apoptosis is the physiologically desired pathway of cell death by the anticancer agents [14,15], we wanted to explore the involvements of apoptosis in the andrographolide derivatives induced cell death. </s> 
PLoS ONE | <s> Because we had previously demonstrated that GW3965 doses of 2.5 mg/kg/day and 33 mg/kg/day provided cognitive and neuropathological benefits in APP/PS1 mice [42], we aimed to achieve a dose between these two extremes. </s> 
PLoS ONE | <s> Here we aimed to determine a role of cytoplasmic pathogen recognition receptors in NTHi-induced b-defensin 2 regulation and NTHi clearance from the middle ear. </s> 
PLoS ONE | <s> Thus, we aimed to determine a role of NODs in NTHi-induced b-defensin 2 regulation in the middle ear epithelial cells and its involvement in protection of the middle ear from the OM pathogens. </s> 
PLoS ONE | <s> The PAR Approach Although there are many theoretical arguments in favor of using PAR instead of conventional ROIs, we wanted to determine whether in practice these advantages were significant. </s> 
Pharmaceuticals | <s> In the present study, we aimed to employ the antimicrobial peptide AamAP1 as a platform for the design of a novel peptide analog with enhanced antibacterial activity and decreased cytolytic activity against eukaryotic cells based on enhancing the net positive charge on the parent peptide while optimizing other physico-chemical properties of the peptide that are known to influence AMPs activity. </s> 
PLoS ONE | <s> While the Clover-mRuby2 sensors clearly represent superior green-red sensors, we wanted to test the limits of responsiveness of the low dynamic range sensors. </s> 
International Journal of Computer Games Technology | <s> This paper focuses on an evaluation where we wanted to discover similarities and differences between making students learn software architecture through game development versus social application development (e.g., weather Forecast, chatting software) using the Android platform. </s> 
PLoS ONE | <s> Induction of hypoxia and oxygen measurement To model the limited perfusion of the ischemic penumbra, we aimed to restrict the available amount of adenosinetriphosphate (ATP). </s> 
PLoS ONE | <s> Although we aimed to explore the general tendency of network and behavior dynamics in the 12 small schools, we also considered possible variations across schools along several key dimensions: (1) urban, suburban vs. rural, (2) public vs. private, (3) single race vs. multiple race, and (4) different response rates. </s> 
PLoS Genetics | <s> Because of both limitations we wanted to evaluate whether gene identification by homozygosity mapping is possible in single individuals from outbred populations. </s> 
PLoS ONE | <s> While this number is smaller than the number of genes studied in previous studies [30,33], we have aimed to collect a dataset of high quality by omitting genes belonging to large gene families which are prone to spurious orthology assignments, especially when the annotation of some of the genomes included is of low quality [34]. </s> 
BMC Psychiatry | <s> When the SAPAS was administered the second time, patients were instructed not to try to remember what they had said the first time, and were told that we wanted to know "if people see themselves in the same way at two different points in time". </s> 
PLoS Biology | <s> Finally, we wanted to establish if this remodeled RP regulatory complex had conserved its connections with cellular signaling and chromatin modifications. </s> 
PLoS ONE | <s> In addition, we wanted to examine this phenomenon in cells immortalized through means other than an oncogenic virus (i.e. HPV). </s> 
PLoS ONE | <s> In this study, we aimed to elucidate an effective diagnostic approach for initial diagnosis and monitoring of LTBI and the significance of follow-up tests for LTBI detection using QFT-GIT and T-SPOT. </s> 
BioMed Research International | <s> In the present study, we aimed to develop a 3D dynamic in vitro neuroglial coculture system, to evaluate the capacity of the cells to reproduce, at least in part, neuronal features. </s> 
PLoS ONE | <s> Specifically, we wanted to understand how mutants defective in embryo development are able to survive gametophyte development when an essential function required throughout the life cycle is disrupted, and conversely, why some mutants exhibit gametophyte lethality instead. </s> 
PLoS ONE | <s> We chose an e-30 cutoff value to be relatively stringent in our selection of unique genes because we wanted to identify those EMB genes where survival of mutant gametophytes was least likely to result from genetic redundancy. </s> 
PLoS ONE | <s> While automated neighbourhood definition methods are available using metrics such as the AICc and cross validation, in this analysis we focused specifically on local neighbourhoods – as our intent was descriptive rather than explanatory (i.e., we wanted to compare local epidemiological risk factors for JE and AES rather than fit the best model possible). </s> 
PLoS ONE | <s> Through joint analysis of the temporal, spatial, and landscape distributions of JE and AES cases, we aimed to uncover new insights into their respective epidemiology. </s> 
PLoS ONE | <s> Therefore we wanted to determine if γ-H2AX would co-localize with WDR76. </s> 
PLoS ONE | <s> Because Axna2 not belongs to the transmembrane proteins, we aimed to determine whether Axna2 promoted proliferation of HUVEC depends on Axna2R that located on the surface of target cell membrane. </s> 
International Journal of Hepatology | <s> In the present study we aimed to evaluate the cytokine-chemokine network in ALD in the presence or absence of HCV infection. </s> 
International Journal of Hepatology | <s> Moreover, we aimed to correlate serum cytokine and chemokine levels, with the severity of the disease and to compare the same parameters in ALD patients in the presence of absence of HCV infection. </s> 
PLoS ONE | <s> In this study, we aimed to examine the changes in gene expression that occur in FTO-4 mice in order to gain more insight into the underlying mechanisms by which FTO influences body weight and adiposity. </s> 
PLoS ONE | <s> Because p63 is a key regulator of keratinocyte differentiation, we aimed to identify p63-regulated miRNAs in human keratinocytes. </s> 
PLoS ONE | <s> In order to explore the potential role of Shh as a niche factor, we next aimed to establish a more in vivo like environment by developing a 3-D assay based on embedding tectal NSC into collagen type-I gels. </s> 
PLoS ONE | <s> In order to calculate the gene expression ratios in a cross-sample manner, we wanted to avoid negative signals in the microarray PLoS ONE | www.plosone.org </s> 
Lecture Notes in Engineering and Computer Science | <s> In version 2, we aimed to convert more domain dependence into independence until it became a part of the framework. </s> 
PLoS ONE | <s> Based on strict case definitions for RA and PJI, we aimed to determine the demographic characteristics of RA patients who developed PJI following THA and TKA. </s> 
BMC Public Health | <s> By performing two cross-sectional questionnaire surveys during winter 2009 and winter 2010 among European travellers to resource-limited destinations, we aimed to investigate knowledge, attitudes and practices (KAP) regarding seasonal influenza vaccination. </s> 
International Journal of General Medicine | <s> individuals.9–11 Nonetheless, Tuuminen et al found no significant difference in M. pneumoniae serology between asthmatic patients and control group.12 In the present study, we aimed to study the relationship between previous M. pneumoniae infections in asthmatic patients and presence of any predilection for the proximal or distal airways involvement, the severity of the disease, and asthma control. </s> 
PLoS ONE | <s> Based on this analysis we aimed to sample at least 300 participants and used the end of the academic year as a stopping rule. </s> 
International Journal of Surgical Oncology | <s> In this analysis we wanted to focus on nonsquamous sinonasal malignancies. </s> 
PLoS ONE | <s> As young adult workers perform in-hive duties that are crucial for colony maintenance and survival, we aimed to assess the effect of sublethal IMI doses on honeybee behaviour during this period. </s> 
PLoS ONE | <s> Identification of the effector mechanism underlying vaccine-induced tumor control in the lungs Finally, we wanted to determine the effector mechanism underlying the vaccine-induced inhibition of B16. </s> 
PLoS ONE | <s> Consequently, we wanted to perform a head-to-head comparison of results obtained by tumor focus counting to matched results obtained by Q-PCR. </s> 
PLoS Neglected Tropical Diseases | <s> In order to increase the efficient allocation of soil-transmitted helminth (STH) disease control resources in the Philippines, we aimed to describe for the first time the spatial variation in the prevalence of A. lumbricoides, T. trichiura and hookworm across the country, quantify the association between the physical environment and spatial variation of STH infection and develop predictive risk maps for each infection. </s> 
Journal of Applied Mathematics and Stochastic Analysis | <s> This brings us back to the 'uniform distribution setup' with f replaced by f o G-, but that is just the function whose integral we wanted to estimate as argued above! </s> 
Dicle Medical Journal | <s> Herein we aimed to emphasize that mild head trauma may cause serious consequences such as acute infarct in pediatric population. </s> 
PLoS ONE | <s> With nearly 10,000 IVF cycles included in the present study, we aimed to investigate the influence of paternal age on the reproductive outcomes in IVF cycles in a population of Chinese men. </s> 
PLoS ONE | <s> Therefore, we aimed to explore if somatosensory input can modify pressure pain thresholds through modulation of sensory and/or motor cortical areas, which can secondarily lead to inhibition of other structures mediating pain processing such as thalamus. </s> 
PLoS ONE | <s> Since some previous studies testing somatosensory training had also a motor component that could explain effects on pain, we aimed to isolate the somatosensory involvement. </s> 
PLoS ONE | <s> Discussion In the present study, we aimed to elucidate whether men with prediabetes had a greater risk for TD, while adjusting for obesity and MetS. </s> 
PLoS ONE | <s> In this study, we aimed to investigate whether AMP has antitumor effects on breast cancer and whether ROS generation and ER stress pathway are required for AMP-induced cell growth inhibition and apoptosis. </s> 
International Journal of Environmental Research and Public Health | <s> Given the increasing prevalence of insomnia with age, we aimed to investigate how hyperarousal and sleep reactivity were related to insomnia severity in different adult age groups. </s> 
PLoS ONE | <s> Instead, we aimed to tease out the contribution of seasonal delivery in different settings for both interventions and to investigate factors which affect their impact and cost-effectiveness. </s> 
PNA | <s> It was selected precisely because we wanted to use a problem that did not require specialized content knowledge about the phenomenon. </s> 
PeerJ | <s> This suggests that our MCMC appears to be providing a good approximation of the true posterior in both cases when the sample sizes lead to estimable h2 , and when sample sizes are low, with the true posterior not containing much information about h2 . Additionally, we wanted to explore the effect of attenuation on the degree of zeroinflatedness in our trait distribution, and whether a less extreme distribution may lend itself to better heritability estimation. </s> 
PLoS ONE | <s> Poly(I:C) administration induced acute liver injury in mice with expression of IL-33 in liver While the cellular source of IL-33 in viral liver pathology is poorly known in a mouse model, we first aimed to investigate the expression and cellular sources of IL-33 in a Poly(I:C)induced acute hepatitis. </s> 
Advances in Environmental Sciences | <s> Concerning these issues we aimed to realize a synthesis of the knowledge regarding the herpetofauna from Tarcău Mountains, based both on the previous studies and our field researches. </s> 
PLoS ONE | <s> Therefore, we aimed to profile CRC tissues to investigate the correlation between mutational status and various receptor tyrosine kinase (RTK) protein expressions such as HER1, HER2, HER3, c-MET, and insulin-like growth factor 1 receptor (IGF1R). </s> 
PLoS ONE | <s> On these values a new selection criterion is applied, as we wanted to identify the group of probes that have strong correlations to both groups in absolute value. </s> 
PLoS ONE | <s> In this study, we aimed to study the role of interaction between T cells and macrophages in regulating inflammatory responses in cardiac inflammation and fibrosis induced by Ang II infusion. </s> 
PLoS ONE | <s> In the current study, we aimed to investigate whether diagnostic URS would increase the IVR and be an independent predictor for the IVR following RNU in patients with UTUC. </s> 
PLoS ONE | <s> Importantly, in the case of limited cognitive resources we wanted to interfere with effortful reasoning processes without interfering with participants' abilities to read the stimuli or understand them. </s> 
PLoS ONE | <s> NDPK inhibits phagocytosis but not amoeboid motility Since elevated NDPK expression resulted in slower plaque expansion rates during growth on bacterial lawns (and vice versa), we wanted to determine if these phenotypes could be explained by changes in the ability of cells to ingest nutrients. </s> 
PLoS ONE | <s> However, we wanted to ensure that the cost of protecting a species in a site where no specific threat (i.e., buffalos, cane toads, river flow alteration and grazing land use) occurred was cheaper than the cost of protecting a species </s> 
Diversity | <s> Furthermore, we wanted to use a European-wide data set that does not depend on the availability of regional data. </s> 
PLoS ONE | <s> In this study we wanted to examine the effect of A. paniculata against azoxymethane (AOM)-induced aberrant crypt foci (ACF) in colon. </s> 
BMC Public Health | <s> Based on the previous studies, we wanted to focus on some aspects of mobile phone exposure other than mere quantity of use. </s> 
BMC Public Health | <s> Furthermore, we wanted to examine whether frequency of mobile phone use is associated with perceived social support. </s> 
Frontiers in Neuroscience | <s> Here we aimed to identify cell surface signatures that would permit the isolation of NSC, glia and post-mitotic neurons from neural differentiation cultures of pluripotent stem cells by FACS. </s> 
PLoS ONE | <s> In this study, we aimed to elucidate the molecular mechanism of this suppression. </s> 
PLoS ONE | <s> Second, we wanted to scrutinize whether the brain regions thus identified would be related to emotional dysregulation in a group of patients with BPD. </s> 
PLoS ONE | <s> Furthermore, we aimed to scrutinize findings particularly with regard to the current point of view of BPD being associated with a dysfunctional prefrontal-amygdala and prefrontal-insula network underlying the dysregulation of emotion, which is considered to be the core symptom of BPD. </s> 
PLoS ONE | <s> Unique placental expression of msFlt-1 First, we aimed to detect the expression profile and levels of msFlt-1 in mice that had not received any viral injection. </s> 
PLoS Genetics | <s> Our goal was twofold: first, we wanted to investigate our ability to map polymorphisms responsible for G x E interactions; second, we wanted to characterize the main determinants of flowering time variation in Sweden, because although many GWAS have mapped genes responsible for flowering time variation in A. thaliana [5, 12–15], this has almost always been done in global samples, and there is reason to believe that the relatively small number of significant associations in these attempts is due to excessive genetic heterogeneity in these samples. </s> 
Ciência Rural | <s> Therefore, in the present work we aimed to investigate the impact of increasing doses of TDZ sprayed at the full bloom on the quality of 'Gala' apples stored under controlled atmosphere (CA) conditions. </s> 
Journal of Microbiology and Infectious Diseases | <s> ability to quantify the bacterial load.19-26 In our study, we aimed to evaluate the nine NAATs in their ability to detect MTBC in SPss and SNss. </s> 
PLoS Computational Biology | <s> Design procedure In our design procedure, we aimed to design peptides that would bind tightly to only the defined target while making minimal interactions with other bZIP proteins. </s> 
PLoS ONE | <s> Finally, we wanted to use an equivalent logic to investigate how implicit reward PLOS ONE | www.plosone.org </s> 
PLoS ONE | <s> In this work, we aimed to evaluate the effect of the three water management techniques; the physical barrier (P), the dual-lateral drip system (H), and the intermittent flow (S) on the wetting pattern, and on tomatoes (Solanum lycopersicum L.) yield and water use efficiency. </s> 
PLoS Biology | <s> With reasonable confidence in our assignment of sequence motifs recognized by the Pezizomycotina Puf4 orthologs, based on the analyses described above and in S12 Fig, we wanted to determine the subset of former Puf3 targets co-opted by Puf4. </s> 
PLoS Biology | <s> Testing Conservation of Puf4 and Puf5 Binding to Histone Transcripts Multiple genes often encode each core histone, and as our conservation analysis only reports one number per species, we wanted to test whether Puf4 and Puf5 sites were enriched in the ortholog set of each histone while accounting for the number of 3' UTRs we searched. </s> 
PLoS ONE | <s> In this study, we aimed to clarify the influence of contextual odors. </s> 
PLoS ONE | <s> While not nearly as diverse as host use in other lineages, we wanted to explore this in the AMC as a comparison to the other Hawaiian Drosophila clades. </s> 
Revista Brasileira de Anestesiologia | <s> In other words, we wanted to know if the increase in the concentration of ropivacaine would increase the duration of the analgesia. </s> 
ZooKeys | <s> First, we wanted to estimate the unknown sex ratio and its uncertainty. </s> 
International Journal of Hypertension | <s> Recently, Poldip2 has been described as a modulator of Nox4 [31]; however, in this study we aimed to target the core of the enzyme. </s> 
Journal of Electrical and Electronics Engineering | <s> In this first part of our work we aimed to investigate corruption that acts as a financial constraint on SMEs, decreasing their chances of growth and consolidation, affecting business and economic outlook, reducing society confidence in institutions and honest business. </s> 
Archives of Biological Sciences | <s> At the same time we wanted to evaluate the body response through an assessment of the liver and kidney functions and to report on the consequent ultrastructural renal changes that could help in unveiling the changes occurring in the course of nephrolithiasis. </s> 
